SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax
202401,442.0,442,1.0,60.930305,18.5799571428571,21.7442571428571,25.8246857142857,63.6785857142857,80.6687,93.9377857142857
202352,247.0,247,0.93021876,34.049286,18.8204142857143,23.5736142857143,28.6719857142857,53.1885428571429,73.5142142857143,91.4356
202351,230.0,230,0.96405697,31.705814,18.9612571428571,23.2020571428571,28.3690428571429,51.2356571428571,76.2719285714286,94.5993428571429
202350,233.0,233,0.99378425,32.11937,18.4588,22.6067285714286,27.6278142857143,54.3878,77.027,93.7420285714286
202349,178.0,178,0.36217394,24.537542,19.9728142857143,23.6597,27.8299,62.7413428571429,80.7932285714286,95.2599857142857
202348,174.0,174,0.26957402,23.986137,18.5365428571429,22.0568571428571,26.6217,64.6195857142857,82.7961857142857,95.4731428571429
202347,191.0,191,0.7022092,26.32961,19.1214142857143,21.8322857142857,25.1857428571429,69.9690857142857,84.3202,94.8954285714286
202346,191.0,191,0.6857949,26.32961,21.3018571428571,26.8515857142857,33.6357571428571,39.4916857142857,65.1360285714286,86.358
202345,182.0,182,0.2409915,25.08895,16.0250285714286,21.6118,28.8192285714286,42.8708714285714,69.0911,90.3966285714286
202344,164.0,164,0.011084587,22.607624,19.3360285714286,22.3700714285714,27.1114,60.8327571428571,81.5423571428571,94.8904428571429
202343,203.0,203,0.35175475,27.983828,18.5124571428571,22.0773,27.6187,58.3814,79.2063142857143,92.5342571428571
202342,219.0,219,0.66688895,30.18945,17.5151571428571,20.4457285714286,24.6895142857143,66.7755142857143,82.5298142857143,93.3565
202341,207.0,207,0.43523306,28.535233,18.1439285714286,20.9916142857143,25.2840285714286,66.7567714285714,83.5135142857143,94.6670571428571
202340,216.0,216,0.62496394,29.775894,18.6175285714286,21.9939285714286,27.3101285714286,65.8219857142857,84.0615571428571,94.9448571428571
202339,202.0,202,0.5999212,27.845976,17.9106714285714,22.2694285714286,28.2491571428571,53.9240857142857,75.3381285714286,91.9217857142857
202338,226.0,226,0.99547595,31.15441,17.4124571428571,23.6108571428571,31.2908,36.7634285714286,65.2405714285714,87.0995142857143
202337,200.0,200,0.9940998,27.570272,15.0456,20.6263285714286,27.2067428571429,45.4796428571429,69.0343714285714,89.0472428571429
202336,180.0,180,0.974055,24.813246,16.5896428571429,21.2644428571429,27.2335714285714,52.7683142857143,74.7278428571429,90.8774857142857
202335,136.0,136,0.37561277,18.747786,13.1263571428571,16.8706428571429,22.3339,61.0855,81.8233285714286,94.5732571428571
202334,147.0,147,0.8222832,20.26415,14.8124428571429,20.0573428571429,26.3449,46.9296,68.0855714285714,86.3427571428571
202333,149.0,149,0.9580444,20.539854,15.4955571428571,19.4033857142857,24.7299714285714,53.6265714285714,75.8421428571429,90.2197571428571
202332,133.0,133,0.84269214,18.334232,14.4582714285714,19.6826428571429,26.6991428571429,45.4519428571429,71.6077428571429,90.4979571428571
