SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,tempmed_lag2,tempmed_lag4,umidmed_lag2,umidmed_lag4,casos_lag1,casos_lag2
202127,90.0,90,0.3495122,12.33321,12.1428571428571,16.0419432857143,20.4285714285714,47.6964494285714,71.6520501428571,89.4169977142857,17.7173324285714,18.2974177142857,72.1248527142857,79.0822851428571,74.0,99.0
202128,71.0,71,0.12434377,9.729532,10.1428571428571,17.8291564285714,24.0,36.8351657142857,62.9321452857143,91.1511185714286,15.6537447142857,15.1880895714286,65.6106262857143,78.0333327142857,90.0,74.0
202129,61.0,61,0.052999396,8.359176,8.71428571428571,14.6598997142857,20.4285714285714,31.7986908571429,61.2795725714286,91.9988985714286,16.0419432857143,17.7173324285714,71.6520501428571,72.1248527142857,71.0,90.0
202130,64.0,64,0.22598037,8.770283,6.85714285714286,13.9781807142857,20.0,37.1828531428571,62.0697715714286,88.3442505714286,17.8291564285714,15.6537447142857,62.9321452857143,65.6106262857143,61.0,71.0
202131,56.0,56,0.2001157,7.6739974,10.1428571428571,15.2041621428571,20.4285714285714,48.7926472857143,72.4530514285714,92.1904498571429,14.6598997142857,16.0419432857143,61.2795725714286,71.6520501428571,64.0,61.0
202132,86.0,86,0.9724173,11.785068,11.8571428571429,17.3116118571429,21.7142857142857,46.7954444285714,66.8611701428571,90.370805,13.9781807142857,17.8291564285714,62.0697715714286,62.9321452857143,56.0,64.0
202133,94.0,94,0.98256725,12.881353,13.7142857142857,20.7431078571429,27.1428571428571,31.6140747142857,59.269863,88.2178285714286,15.2041621428571,14.6598997142857,72.4530514285714,61.2795725714286,86.0,56.0
202134,99.0,99,0.9264341,13.566531,13.8571428571429,21.7715121428571,27.7142857142857,33.0216294285714,50.9068141428571,80.6986794285714,17.3116118571429,13.9781807142857,66.8611701428571,62.0697715714286,94.0,86.0
202135,81.0,81,0.24615487,11.09989,15.2857142857143,19.8292545714286,24.5714285714286,41.9272174285714,65.7031637142857,87.2512814285714,20.7431078571429,15.2041621428571,59.269863,72.4530514285714,99.0,94.0
202136,133.0,133,0.9954134,18.225744,17.7142857142857,21.8655461428571,27.2857142857143,47.6279347142857,71.3059115714286,89.8888928571428,21.7715121428571,17.3116118571429,50.9068141428571,66.8611701428571,81.0,99.0
